Time/s,Angle/rad,AngVel/rad/s
0.02,0,0
0.04,0,0
0.06,0,0
0.08,0,0
0.1,0,0
0.12,0,0
0.14,0,0
0.16,0,0
0.18,0,0
0.2,0,0
0.22,0,0
0.24,0,0
0.26,0,0
0.28,0,0
0.3,0,0
0.32,0,0
0.34,0,0
0.36,0,0
0.38,0,0
0.4,0,0
0.42,0,0
0.44,0,0
0.46,0,0
0.48,0,0
0.5,0,0
0.52,0,0
0.54,0,0
0.56,0,0
0.58,0,0
0.6,0,0
0.62,0,0
0.64,0,0
0.66,0,0
0.68,0,0
0.7,0,0
0.72,0,0
0.74,0,0
0.76,0,0
0.78,0,0
0.8,0,0
0.82,0,0
0.84,0,0
0.86,0,0
0.88,0,0
0.9,0,0
0.92,0,0
0.94,0,0
0.96,0,0
0.98,0,0
1,0,0
1.02,0,0
1.04,0,0
1.06,0,0
1.08,0,0
1.1,0,0
1.12,0,0
1.14,0,0
1.211,-0.023561944901923447,-0.33185837890033026
1.231,-0.05235987755982988,-1.4398966328953218
1.251,-0.09686577348568529,-2.2252947962927703
1.271,-0.16493361431346415,-3.403392041388943
1.291,-0.22776546738526,-3.141592653589792
1.311,-0.28274333882308134,-2.748893571891067
1.331,-0.32201324699295386,-1.9634954084936262
1.351,-0.34819318577286873,-1.3089969389957434
1.371,-0.3586651612848347,-0.5235987755982996
1.391,-0.3508111796508602,0.3926990816987247
1.411,-0.32986722862692824,1.0471975511965992
1.431,-0.2958333082130388,1.701696020694471
1.451,-0.24609142453120048,2.4870941840919176
1.471,-0.18587756533739608,3.01069295969022
1.491,-0.11780972450961726,3.403392041388941
1.511,-0.049741883681838385,3.403392041388943
1.531,0.023561944901923447,3.6651914291880914
1.551,0.10210176124166827,3.9269908169872414
1.571,0.1989675347273536,4.843288674284266
1.591,0.28274333882308134,4.188790204786387
1.611,0.3586651612848347,3.796091123087669
1.632,0.4162610266006476,2.7426602531339475
1.652,0.45553093477052,1.9634954084936178
1.672,0.47647488579445196,1.0471975511965992
1.692,0.4738568919164605,-0.13089969389957212
1.712,0.4529129408925285,-1.0471975511966019
1.732,0.4162610266006476,-1.832595714594043
1.752,0.3586651612848347,-2.879793265790645
1.772,0.2879793265790644,-3.534291735288517
1.792,0.20158552860534507,-4.319689898685966
1.812,0.11257373675363426,-4.4505895925855405
1.832,0.015707963267948967,-4.843288674284264
1.852,-0.08377580409572782,-4.974188368183839
1.872,-0.20158552860534507,-5.890486225480862
1.892,-0.3063052837250048,-5.235987755982988
1.912,-0.40317105721069,-4.84328867428426
1.932,-0.47909287967244346,-3.796091123087672
1.952,-0.5393067388662477,-3.0106929596902114
1.972,-0.5733406592801373,-1.701696020694482
1.992,-0.5838126347921032,-0.523598775598294
2.012,-0.5733406592801373,0.523598775598294
2.032,-0.5393067388662477,1.701696020694482
2.052,-0.47909287967244346,3.0106929596902114
2.072,-0.4057890510886816,3.6651914291880945
2.092,-0.31154127148098787,4.712388980384685
2.112,-0.20682151636132803,5.2359877559829915
2.132,-0.08901179185171079,5.890486225480862
2.152,0.023561944901923447,5.6286868376817125
2.172,0.1518436449235067,6.414085001079162
2.192,0.2775073510670984,6.283185307179585
2.212,0.39531707557671564,5.890486225480862
2.232,0.4895648551844094,4.712388980384688
2.252,0.5681046715241543,3.9269908169872467
2.272,0.6204645490839841,2.617993877991487
2.292,0.651880475619882,1.5707963267948988
2.312,0.651880475619882,0
2.332,0.6283185307179586,-1.1780972450961713
2.352,0.5785766470361202,-2.4870941840919203
2.372,0.5105088062083414,-3.403392041388942
2.392,0.41364303272265607,-4.843288674284266
2.412,0.3089232776029963,-5.235987755982988
2.432,0.1832595714594046,-6.283185307179585
2.452,0.05759586531581287,-6.283185307179586
2.472,-0.07853981633974484,-6.806784082777886
2.492,-0.21729349187329408,-6.937683776677461
2.512,-0.3560471674068431,-6.937683776677451
2.532,-0.4738568919164605,-5.8904862254808705
2.552,-0.5759586531581288,-5.1050880620834125
2.572,-0.651880475619882,-3.7960911230876637
2.592,-0.7042403531797119,-2.617993877991492
2.612,-0.7278022980816355,-1.1780972450961824
2.632,-0.7225663103256524,0.26179938779915535
2.652,-0.6859143960337715,1.8325957145940486
2.672,-0.6257005368399672,3.010692959690214
2.692,-0.5393067388662477,4.319689898685974
2.712,-0.43458698374658805,5.235987755982982
2.732,-0.3063052837250048,6.414085001079162
2.752,-0.17278759594743864,6.675884388878308
2.772,-0.02617993877991493,7.330382858376185
2.792,0.11780972450961726,7.19948316447661
2.812,0.27488935718910695,7.8539816339744855
2.832,0.41102503884466457,6.806784082777881
2.852,0.5366887449882564,6.28318530717959
2.872,0.6335545184739418,4.843288674284274
2.892,0.7120943348136863,3.9269908169872245
2.912,0.7566002307395419,2.225294796292776
2.932,0.7749261878854823,0.9162978572970215
2.952,0.7592182246175333,-0.7853981633974494
2.972,0.7173303225696694,-2.0943951023931926
2.992,0.646644487863899,-3.5342917352885195
3.012,0.5550147021341968,-4.581489286485113
3.032,0.43458698374658805,-6.021385919380437
3.052,0.3010692959690218,-6.675884388878312
3.072,0.14922565104551513,-7.5921822461753345
3.092,0.0026179938779914945,-7.330382858376182
3.112,-0.15969762655748118,-8.115781021773634
3.132,-0.31677725923697075,-7.853981633974478
3.152,-0.466002910282486,-7.4612825522757635
3.172,-0.5890486225480862,-6.152285613280009
3.192,-0.6937683776677458,-5.235987755982979
3.212,-0.767072206251508,-3.6651914291881083
3.232,-0.8141960960553548,-2.3561944901923426
3.252,-0.8272860654453121,-0.6544984694978662
3.272,-0.8089601082993718,0.916297857297016
3.292,-0.7592182246175333,2.4870941840919256
3.312,-0.6832964021557802,3.7960911230876526
3.332,-0.5759586531581288,5.366887449882573
3.352,-0.4529129408925285,6.152285613280014
3.372,-0.3036872898470133,7.461282552275758
3.392,-0.14922565104551513,7.723081940074909
3.412,0.015707963267948967,8.246680715673204
3.432,0.1806415775814131,8.246680715673207
3.452,0.34819318577286873,8.377580409572781
3.472,0.49480084294039234,7.33038285837618
3.492,0.6257005368399672,6.544984694978742
3.512,0.7278022980816355,5.105088062083418
3.532,0.8037241205433889,3.796091123087669
3.552,0.8456120225912527,2.0943951023931873
3.572,0.8587019919812101,0.6544984694978717
3.592,0.8351400470792866,-1.1780972450961769
3.612,0.7853981633974483,-2.4870941840919145
3.632,0.7016223593017205,-4.188790204786391
3.652,0.5942846103040693,-5.366887449882557
3.672,0.45814892864851153,-6.806784082777889
3.692,0.31154127148098787,-7.330382858376183
3.712,0.14137166941154067,-8.50848010347236
3.732,-0.020943951023931956,-8.11578102177363
3.752,-0.1989675347273536,-8.901179185171081
3.772,-0.3665191429188092,-8.377580409572781
3.792,-0.5235987755982987,-7.853981633974474
3.812,-0.6544984694978736,-6.544984694978745
3.832,-0.7644542123735164,-5.49778714378214
3.852,-0.8403760348352696,-3.796091123087658
3.872,-0.8874999246391165,-2.356194490192348
3.892,-0.8979719001510825,-0.5235987755982996
3.912,-0.8770279491271508,1.047197551196588
3.932,-0.8220500776893291,2.748893571891081
3.952,-0.7382742735936014,4.188790204786385
3.972,-0.6204645490839841,5.890486225480868
3.992,-0.4869468613064179,6.675884388878308
4.012,-0.3246312408709454,8.115781021773625
4.032,-0.15707963267948966,8.377580409572788
4.052,0.020943951023931956,8.901179185171081
4.072,0.19634954084936204,8.770279491271504
4.092,0.3743731245527837,8.901179185171083
4.112,0.5288347633542818,7.723081940074905
4.132,0.6702064327658226,7.068583470577039
4.152,0.7775441817634738,5.3668874498825625
4.172,0.8587019919812101,4.057890510886813
4.192,0.905825881785057,2.3561944901923426
4.212,0.921533845053006,0.7853981633974494
4.232,0.8979719001510825,-1.1780972450961713
4.252,0.8456120225912527,-2.617993877991492
4.272,0.7592182246175333,-4.319689898685969
4.292,0.646644487863899,-5.6286868376817125
4.312,0.5026548245743669,-7.1994831644766055
4.332,0.34819318577286873,-7.723081940074911
4.352,0.1701696020694471,-8.901179185171081
4.372,-0.005235987755982989,-8.770279491271504
4.392,-0.19373154697137057,-9.42477796076938
