Time/s,Angle/rad,AngVel/rad/s
0.02,0.06544984694978735,10.471975511965978
0.04,0.2905973204570559,11.257373675363427
0.06,0.5052728184523584,10.733774899765125
0.08,0.6859143960337715,9.032078879070655
0.1,0.8508480103472356,8.246680715673204
0.12,0.9738937226128358,6.152285613280012
0.14,1.06814150222053,4.712388980384713
0.16,1.1205013797803596,2.6179938779914758
0.18,1.1362093430483087,0.7853981633974549
0.2,1.1152653920243765,-1.0471975511966103
0.22,1.0524335389525807,-3.1415926535897865
0.24,0.9581857593448869,-4.712388980384691
0.26,0.8220500776893291,-6.806784082777889
0.28,0.6649704450098395,-7.853981633974483
0.3,0.47123889803846897,-9.686577348568525
0.32,0.2696533694331239,-10.079276430267253
0.34,0.047123889803846894,-11.12647398146385
0.36,-0.1754055898254301,-11.12647398146385
0.38,-0.38746309394274114,-10.602875205865551
0.4,-0.5916666164260777,-10.210176124166825
0.42,-0.7644542123735164,-8.639379797371937
0.44,-0.9162978572970231,-7.592182246175333
0.46,-1.0262536001726656,-5.497787143782129
0.48,-1.1047934165124107,-3.9269908169872525
0.5,-1.1414453308042916,-1.832595714594043
0.52,-1.1414453308042916,0
0.54,-1.1021754226344191,1.9634954084936207
0.56,-1.023635606294674,3.9269908169872525
0.58,-0.9136798634190315,5.497787143782129
0.6,-0.7618362184955249,7.592182246175333
0.62,-0.5916666164260777,8.50848010347236
0.64,-0.38746309394274114,10.210176124166825
0.66,-0.17802358370342167,10.471975511965974
0.68,0.044505895925855396,11.126473981463851
0.7,0.2696533694331239,11.257373675363425
0.72,0.4738568919164605,10.21017612416683
0.74,0.6702064327658226,9.817477042468104
0.76,0.8272860654453121,7.8539816339744775
0.78,0.9634217471008698,6.806784082777884
0.8,1.0576695267085636,4.712388980384691
0.82,1.117883385902368,3.01069295969022
0.84,1.1388273369263,1.0471975511965992
0.86,1.1205013797803596,-0.9162978572970215
0.88,1.0655235083425383,-2.7488935718910645
0.9,0.9712757287348442,-4.712388980384702
0.92,0.8456120225912527,-6.283185307179578
0.94,0.6832964021557802,-8.115781021773621
0.96,0.5026548245743669,-9.032078879070665
0.98,0.2932153143350474,-10.471975511965978
1,0.07068583470577036,-11.126473981463851
1.02,-0.14137166941154067,-10.602875205865551
1.04,-0.3665191429188092,-11.257373675363427
1.06,-0.5628686837681712,-9.8174770424681
1.08,-0.7487462491055674,-9.29387826686981
1.1,-0.895353906273091,-7.330382858376177
1.12,-1.0157816246606997,-6.021385919380434
1.14,-1.096939434878436,-4.057890510886819
1.16,-1.1414453308042916,-2.225294796292776
1.18,-1.1440633246822831,-0.13089969389957767
1.2,-1.1100294042683936,1.7016960206944765
1.22,-1.0393435695626232,3.5342917352885195
1.24,-0.926769832808989,5.6286868376817125
1.26,-0.7880161572754398,6.9376837766774555
1.28,-0.6099925735720181,8.901179185171088
1.3,-0.41887902047863906,9.555677654668951
1.32,-0.20158552860534507,10.8646745936647
1.34,0.020943951023931956,11.126473981463851
1.36,0.23561944901923448,10.733774899765127
1.38,0.4529129408925285,10.8646745936647
1.4,0.6414085001079162,9.424777960769385
1.42,0.8141960960553548,8.639379797371932
1.44,0.9450957899549295,6.544984694978734
1.46,1.0498155450745892,5.235987755982984
1.48,1.1126473981463851,3.1415926535897976
1.5,1.1388273369263,1.3089969389957434
1.52,1.1257373675363425,-0.6544984694978773
1.54,1.0733774899765127,-2.617993877991487
1.56,0.9896016858807848,-4.188790204786397
1.58,0.8613199858592017,-6.414085001079156
1.6,0.7120943348136863,-7.461282552275766
1.62,0.5235987755982987,-9.424777960769381
1.64,0.3141592653589793,-10.471975511965969
1.66,0.10471975511965977,-10.471975511965978
1.68,-0.11780972450961726,-11.126473981463851
1.7,-0.3324852225049198,-10.733774899765127
1.72,-0.5445427266222309,-10.602875205865555
1.74,-0.7225663103256524,-8.901179185171076
1.76,-0.8822639368831335,-7.984881327874055
1.78,-1.0026916552707423,-6.02138591938044
1.8,-1.0890854532444618,-4.319689898685974
1.82,-1.1388273369263,-2.487094184091909
1.84,-1.1466813185602747,-0.392699081698733
1.86,-1.117883385902368,1.4398966328953322
1.88,-1.0498155450745892,3.403392041388942
1.9,-0.947713783832921,5.105088062083407
1.92,-0.8063421144213803,7.068583470577039
1.94,-0.6414085001079162,8.246680715673204
1.96,-0.44244096538056255,9.948376736367681
1.98,-0.22514747350726852,10.8646745936647
2,-0.01308996938995747,10.602875205865553
2.02,0.21205750411731106,11.257373675363425
2.04,0.4214970143566306,10.471975511965978
2.06,0.6230825429619757,10.079276430267257
2.08,0.7880161572754398,8.246680715673204
2.1,0.9346238144429634,7.330382858376177
2.12,1.0367255756846319,5.105088062083424
2.14,1.107411410390402,3.5342917352885084
2.16,1.1388273369263,1.5707963267948988
2.18,1.1309733552923253,-0.392699081698733
2.2,1.08646745936647,-2.225294796292765
2.22,1.0000736613927508,-4.319689898685963
2.24,0.8848819307611251,-5.759586531581284
2.26,0.7278022980816355,-7.8539816339744775
2.28,0.5445427266222309,-9.162978572970232
2.3,0.34819318577286873,-9.81747704246811
2.32,0.1282817000215832,-10.995574287564276
2.34,-0.08115781021773633,-10.471975511965976
2.36,-0.3089232776029963,-11.388273369262999
2.38,-0.5105088062083414,-10.079276430267253
2.4,-0.7042403531797119,-9.686577348568525
2.42,-0.8587019919812101,-7.723081940074911
2.44,-0.9896016858807848,-6.544984694978734
2.46,-1.0786134777324956,-4.4505895925855405
2.48,-1.133591349170317,-2.7488935718910645
2.5,-1.1492993124382662,-0.785398163397466
2.52,-1.123119373658351,1.3089969389957656
2.54,-1.0629055144645467,3.010692959690209
2.56,-0.9608037532228784,5.105088062083418
2.58,-0.8299040593233037,6.544984694978734
2.6,-0.6597344572538564,8.508480103472365
2.62,-0.4633849164044945,9.817477042468095
2.64,-0.259181393921158,10.210176124166823
2.66,-0.03665191429188092,11.126473981463855
2.68,0.17802358370342167,10.733774899765129
2.7,0.3979350694547072,10.995574287564276
